run_name,seed,epoch_tag,num_epochs,best_val_epoch,best_val_acc,gap_acc_best,gap_loss_best,final_gap_acc,final_gap_loss,val_macro_f1,val_weighted_f1,recall_Cavity,recall_Fillings,recall_Impacted_Tooth,recall_Implant,recall_Normal,test_acc,test_macro_f1,test_weighted_f1,test_recall_Cavity,test_recall_Fillings,test_recall_Impacted_Tooth,test_recall_Implant,test_recall_Normal,aug_desc,notes
ref-best-combo,2,15-epoch,15,10,0.8964285714285715,-0.0067703510396498,0.0348038635111235,0.0224064876392513,0.0711222721000571,0.8496728957652507,0.8947591299946106,0.6046511627906976,0.9,0.8157894736842105,0.9874213836477987,0.8966666666666666,,,,,,,,,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,reference / control run
ref-best-combo,13,15-epoch,15,13,0.8940476190476191,0.0065121923843196,0.0505643681148439,0.012193787355838,0.0598670537382017,0.853903523996744,0.8931371603048365,0.627906976744186,0.9,0.8947368421052632,0.9559748427672956,0.8933333333333333,,,,,,,,,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,reference / control run
ref-best-combo,42,15-epoch,15,7,0.8916666666666667,-0.0058387350225889,0.0053484910022334,0.0197070460476471,0.0659156300391671,0.837532413996531,0.8911552890716927,0.6046511627906976,0.8933333333333333,0.868421052631579,0.9748427672955976,0.89,,,,,,,,,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,reference / control run
random-resize-crop-scale0.7,2,15-epoch,15,9,0.888095238095238,0.000237113112776,0.0101515894966991,0.0138023683250554,0.0381180443475268,0.8333671925564188,0.8883863679730404,0.6511627906976745,0.8866666666666667,0.868421052631579,0.981132075471698,0.8766666666666667,,,,,,,,,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur+randomcrop,reference / control run
ref-best-combo-test,2,15-epoch,15,10,0.8964285714285715,-0.006770351039649847,0.03480386351112358,0.02240648763925135,0.07112227210005712,0.8496728957652507,0.8947591299946106,0.6046511627906976,0.9,0.8157894736842105,0.9874213836477987,0.8966666666666666,0.8680738786279684,0.7774903290751104,0.8695901516565362,0.4090909090909091,0.8766666666666667,0.84375,0.9519230769230769,0.8666666666666667,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,reference / control run
ref-best-combo-no-cavity-no-fillings,2,15-epoch,15,11,0.9678068410462777,-0.0027071259465625275,0.006042855915128126,0.006427453610552192,0.005746626325395354,0.9380479644323793,0.9685275982081204,,,0.9210526315789473,0.9874213836477987,0.9633333333333334,0.9564220183486238,0.9013088001533657,0.9564021038238892,,,0.75,0.9903846153846154,0.9666666666666667,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,reference / control run
weighted-ce-inv,2,15-epoch,15,13,0.888095238095238,0.009518197379128512,0.08765699773774921,0.023903527232932098,0.08535307793465402,0.8278075551969357,0.8874515219450426,0.5813953488372093,0.8933333333333333,0.868421052631579,0.9811320754716981,0.88,0.8522427440633246,0.7547983005869658,0.8576611591885239,0.5909090909090909,0.86,0.75,0.9326923076923077,0.8466666666666667,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,"class_weight_mode=inv, weights=[1.541, 0.444, 2.074, 0.498, 0.444]"
weighted-ce-sqrt_inv,2,15-epoch,15,10,0.8845238095238095,0.014120857535707354,0.06349515309538645,0.026666806970283674,0.0955826249975269,0.8279426969672379,0.8830909610826406,0.5581395348837209,0.9033333333333333,0.8421052631578947,0.9811320754716981,0.8666666666666667,0.8680738786279684,0.7627959300643765,0.8699783865670662,0.4090909090909091,0.9066666666666666,0.78125,0.9326923076923077,0.85,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,"class_weight_mode=sqrt_inv, weights=[1.315, 0.706, 1.526, 0.747, 0.706]"
weighted-ce-manual,2,15-epoch,15,13,0.8916666666666667,0.0022637988607345783,0.04995276442778562,0.012440721721805992,0.05787749562802208,0.842966880370897,0.8913149475764244,0.6511627906976745,0.9,0.8421052631578947,0.9622641509433962,0.8866666666666667,0.8799472295514512,0.7989458125288373,0.8838305030618762,0.7272727272727273,0.9133333333333333,0.78125,0.9326923076923077,0.85,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,"class_weight_mode=manual, weights=[1.667, 1.0, 1.0, 0.667, 0.667]"
weighted-ce-effective,2,15-epoch,15,10,0.8821428571428571,0.016354491118781067,0.06904980929258792,0.03010284255128093,0.09453680777227924,0.8288648272389935,0.8812169961029714,0.5813953488372093,0.89,0.868421052631579,0.9874213836477987,0.8633333333333333,0.866754617414248,0.7701759719038705,0.8700946666834234,0.5454545454545454,0.8866666666666667,0.75,0.9423076923076923,0.8566666666666667,rotation10+perspective+hflip+vflip+autocontrast+jitter+blur,"class_weight_mode=effective, weights=[1.317, 0.667, 1.656, 0.693, 0.667]"
